MLS,Address,City,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
SR24173788,"19830 Sandpiper Place #55",Newhall,34.397643,-118.481725,1,rooftop,19830,"Sandpiper Pl",Unit,55,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24172576,"15732 Rosehaven Lane","Canyon Country",34.428386,-118.410604,1,rooftop,15732,"Rosehaven Ln",,,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SW24172746,"19507 Opal Lane #266",Saugus,34.446505,-118.477362,1,rooftop,19507,"Opal Ln",#,266,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County)"
SR24097799,"26901 Rainbow Glen Drive #642","Canyon Country",34.4189,-118.488981,1,rooftop,26901,"Rainbow Glen Dr",Unit,642,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24169878,"20076 Canyon View Drive","Canyon Country",34.428042,-118.485542,1,rooftop,20076,"Canyon View Dr",,,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24157980,"23540 Newhall Avenue #4",Newhall,34.368636,-118.510559,1,rooftop,23540,"Newhall Ave",Apt,4,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
P1-18213,"19534 Laroda Lane #225","Santa Clarita",34.445356,-118.478407,1,rooftop,19534,"Laroda Ln",#,225,"Santa Clarita",CA,"Los Angeles County",91350,US,"Los Angeles (Los Angeles County)"
SR24038706,"17971 Lost Canyon Road #81","Canyon Country",34.402025,-118.453556,1,rooftop,17971,"Lost Canyon Rd",Unit,81,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SR24131531,"18213 Flynn Drive #136","Canyon Country",34.406999,-118.453564,1,rooftop,18213,"Flynn Dr",Unit,136,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SR24021809,"26877 Claudette Street #103","Canyon Country",34.420458,-118.492314,1,rooftop,26877,"Claudette St",Unit,103,"Canyon Country",CA,"Los Angeles County",91351,US,"Los Angeles (Los Angeles County)"
SR24166620,"18842 Vista Del Canon #B",Newhall,34.402184,-118.466488,1,rooftop,18842,"Vista Del Canon",Unit,B,Newhall,CA,"Los Angeles County",91321,US,"Los Angeles (Los Angeles County)"
SR24165969,"27919 Sarabande Lane #423","Canyon Country",34.421667,-118.449599,1,rooftop,27919,"Sarabande Ln",Unit,423,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SR24060592,"27919 Sarabande Lane #424","Canyon Country",34.421667,-118.449599,1,rooftop,27919,"Sarabande Ln",Unit,424,"Canyon Country",CA,"Los Angeles County",91387,US,"Los Angeles (Los Angeles County)"
SR24163753,"25146 Steinbeck Avenue #F","Stevenson Ranch",34.38807,-118.576747,1,rooftop,25146,"Steinbeck Ave",Unit,F,"Stevenson Ranch",CA,"Los Angeles County",91381,US,"Los Angeles (Los Angeles County)"
